onset	duration	sample	trial_type	response_time	stim_file	value
684.5620000000	n/a	n/a	Target Tone	n/a	n/a	S200
686.6260000000	n/a	n/a	Standard Tone	n/a	n/a	S201
688.8480000000	n/a	n/a	Standard Tone	n/a	n/a	S201
691.0460000000	n/a	n/a	Novel Tone	n/a	n/a	S202
693.0280000000	n/a	n/a	Standard Tone	n/a	n/a	S201
695.0660000000	n/a	n/a	Standard Tone	n/a	n/a	S201
696.9760000000	n/a	n/a	Novel Tone	n/a	n/a	S202
699.1060000000	n/a	n/a	Standard Tone	n/a	n/a	S201
701.2960000000	n/a	n/a	Target Tone	n/a	n/a	S200
703.4680000000	n/a	n/a	Standard Tone	n/a	n/a	S201
705.3840000000	n/a	n/a	Standard Tone	n/a	n/a	S201
707.1620000000	n/a	n/a	Standard Tone	n/a	n/a	S201
709.0060000000	n/a	n/a	Target Tone	n/a	n/a	S200
711.2220000000	n/a	n/a	Standard Tone	n/a	n/a	S201
713.0660000000	n/a	n/a	Standard Tone	n/a	n/a	S201
714.8700000000	n/a	n/a	Novel Tone	n/a	n/a	S202
716.9760000000	n/a	n/a	Standard Tone	n/a	n/a	S201
719.0120000000	n/a	n/a	Novel Tone	n/a	n/a	S202
721.2560000000	n/a	n/a	Standard Tone	n/a	n/a	S201
723.1080000000	n/a	n/a	Standard Tone	n/a	n/a	S201
725.2640000000	n/a	n/a	Standard Tone	n/a	n/a	S201
727.2760000000	n/a	n/a	Target Tone	n/a	n/a	S200
729.3300000000	n/a	n/a	Standard Tone	n/a	n/a	S201
731.4600000000	n/a	n/a	Standard Tone	n/a	n/a	S201
733.5780000000	n/a	n/a	Novel Tone	n/a	n/a	S202
735.6480000000	n/a	n/a	Standard Tone	n/a	n/a	S201
737.7560000000	n/a	n/a	Standard Tone	n/a	n/a	S201
739.6180000000	n/a	n/a	Standard Tone	n/a	n/a	S201
741.6360000000	n/a	n/a	Novel Tone	n/a	n/a	S202
743.9060000000	n/a	n/a	Standard Tone	n/a	n/a	S201
745.8600000000	n/a	n/a	Standard Tone	n/a	n/a	S201
747.6620000000	n/a	n/a	Standard Tone	n/a	n/a	S201
749.8180000000	n/a	n/a	Standard Tone	n/a	n/a	S201
751.6680000000	n/a	n/a	Target Tone	n/a	n/a	S200
753.8520000000	n/a	n/a	Standard Tone	n/a	n/a	S201
756.1200000000	n/a	n/a	Standard Tone	n/a	n/a	S201
758.0120000000	n/a	n/a	Novel Tone	n/a	n/a	S202
760.1860000000	n/a	n/a	Standard Tone	n/a	n/a	S201
762.1780000000	n/a	n/a	Standard Tone	n/a	n/a	S201
764.4520000000	n/a	n/a	Target Tone	n/a	n/a	S200
766.4860000000	n/a	n/a	Standard Tone	n/a	n/a	S201
768.3240000000	n/a	n/a	Standard Tone	n/a	n/a	S201
770.3060000000	n/a	n/a	Novel Tone	n/a	n/a	S202
772.5860000000	n/a	n/a	Standard Tone	n/a	n/a	S201
774.4760000000	n/a	n/a	Standard Tone	n/a	n/a	S201
776.5240000000	n/a	n/a	Standard Tone	n/a	n/a	S201
778.6180000000	n/a	n/a	Novel Tone	n/a	n/a	S202
780.8260000000	n/a	n/a	Standard Tone	n/a	n/a	S201
783.0840000000	n/a	n/a	Standard Tone	n/a	n/a	S201
785.3080000000	n/a	n/a	Standard Tone	n/a	n/a	S201
787.4260000000	n/a	n/a	Target Tone	n/a	n/a	S200
789.5720000000	n/a	n/a	Standard Tone	n/a	n/a	S201
791.5620000000	n/a	n/a	Standard Tone	n/a	n/a	S201
793.6480000000	n/a	n/a	Novel Tone	n/a	n/a	S202
795.8980000000	n/a	n/a	Standard Tone	n/a	n/a	S201
797.8560000000	n/a	n/a	Standard Tone	n/a	n/a	S201
799.7440000000	n/a	n/a	Target Tone	n/a	n/a	S200
801.8920000000	n/a	n/a	Standard Tone	n/a	n/a	S201
804.0920000000	n/a	n/a	Standard Tone	n/a	n/a	S201
805.8860000000	n/a	n/a	Novel Tone	n/a	n/a	S202
807.9500000000	n/a	n/a	Standard Tone	n/a	n/a	S201
810.0880000000	n/a	n/a	Target Tone	n/a	n/a	S200
811.9780000000	n/a	n/a	Standard Tone	n/a	n/a	S201
813.9160000000	n/a	n/a	Standard Tone	n/a	n/a	S201
816.0920000000	n/a	n/a	Novel Tone	n/a	n/a	S202
818.0700000000	n/a	n/a	Standard Tone	n/a	n/a	S201
819.9300000000	n/a	n/a	Novel Tone	n/a	n/a	S202
822.2460000000	n/a	n/a	Standard Tone	n/a	n/a	S201
824.0340000000	n/a	n/a	Standard Tone	n/a	n/a	S201
825.9900000000	n/a	n/a	Standard Tone	n/a	n/a	S201
827.7760000000	n/a	n/a	Target Tone	n/a	n/a	S200
829.8240000000	n/a	n/a	Standard Tone	n/a	n/a	S201
831.8100000000	n/a	n/a	Standard Tone	n/a	n/a	S201
833.7940000000	n/a	n/a	Target Tone	n/a	n/a	S200
835.5940000000	n/a	n/a	Standard Tone	n/a	n/a	S201
837.4820000000	n/a	n/a	Standard Tone	n/a	n/a	S201
839.7020000000	n/a	n/a	Standard Tone	n/a	n/a	S201
841.5220000000	n/a	n/a	Standard Tone	n/a	n/a	S201
843.3440000000	n/a	n/a	Target Tone	n/a	n/a	S200
845.3620000000	n/a	n/a	Standard Tone	n/a	n/a	S201
847.4220000000	n/a	n/a	Standard Tone	n/a	n/a	S201
849.2980000000	n/a	n/a	Novel Tone	n/a	n/a	S202
851.2820000000	n/a	n/a	Standard Tone	n/a	n/a	S201
